model_id,model_reported,prompt_id,temperature,embedder,policy,n_scored,mean,sd,ci_lo,ci_hi,min,max,valid_rate,gaming_index,jaccard,distinct,total,distinct_ratio,n_runs,n_refused,n_failed
gpt-5.5,gpt-5.5-2026-04-23,terse,n/a,text-embedding-embeddinggemma-300m,strict,10,0.411035,0.006925,0.407095,0.415302,0.401878,0.425857,1.0,0.411035,0.54786,18,100,0.18,10,0,0
gpt-5.5,gpt-5.5-2026-04-23,cot,n/a,text-embedding-embeddinggemma-300m,strict,10,0.443437,0.018654,0.431698,0.453894,0.406696,0.46257,0.96,0.425699,0.169674,52,96,0.541667,10,0,0
gpt-5.5,gpt-5.5-2026-04-23,maxcreative,n/a,text-embedding-embeddinggemma-300m,strict,10,0.437503,0.023128,0.423706,0.451308,0.397156,0.475549,0.99,0.433128,0.058887,66,99,0.666667,10,0,0
gpt-5.6-sol,gpt-5.6-sol,verbatim,n/a,text-embedding-embeddinggemma-300m,strict,10,0.456787,0.014891,0.448206,0.465571,0.435547,0.478763,0.99,0.452219,0.09355,61,99,0.616162,10,0,0
gpt-5.6-sol,gpt-5.6-sol,terse,n/a,text-embedding-embeddinggemma-300m,strict,10,0.42044,0.015604,0.410088,0.4282,0.381944,0.438523,1.0,0.42044,0.263876,31,100,0.31,10,0,0
gpt-5.6-sol,gpt-5.6-sol,cot,n/a,text-embedding-embeddinggemma-300m,strict,10,0.451843,0.012326,0.444432,0.4589,0.433249,0.467789,0.97,0.438288,0.065315,65,97,0.670103,10,0,0
gpt-5.6-sol,gpt-5.6-sol,maxcreative,n/a,text-embedding-embeddinggemma-300m,strict,10,0.453311,0.023002,0.440427,0.467017,0.413805,0.501195,1.0,0.453311,0.097185,61,100,0.61,10,0,0
o4-mini,o4-mini-2025-04-16,verbatim,n/a,text-embedding-embeddinggemma-300m,strict,10,0.420221,0.022213,0.407099,0.433285,0.383088,0.45783,0.99,0.416018,0.113462,55,99,0.555556,10,0,0
o4-mini,o4-mini-2025-04-16,terse,n/a,text-embedding-embeddinggemma-300m,strict,10,0.403765,0.01279,0.396365,0.411415,0.386128,0.427168,1.0,0.403765,0.279559,36,100,0.36,10,0,0
o4-mini,o4-mini-2025-04-16,cot,n/a,text-embedding-embeddinggemma-300m,strict,10,0.4056,0.02438,0.391447,0.419879,0.368873,0.444419,1.0,0.4056,0.058952,69,100,0.69,10,0,0
o4-mini,o4-mini-2025-04-16,maxcreative,n/a,text-embedding-embeddinggemma-300m,strict,10,0.395181,0.015657,0.386381,0.404715,0.375264,0.421998,1.0,0.395181,0.242141,38,100,0.38,10,0,0
gpt-5.4,gpt-5.4-2026-03-05,verbatim,0,text-embedding-embeddinggemma-300m,strict,10,0.418889,0.0,0.418889,0.418889,0.418889,0.418889,1.0,0.418889,1.0,10,100,0.1,10,0,0
gpt-5.4,gpt-5.4-2026-03-05,verbatim,0.7,text-embedding-embeddinggemma-300m,strict,10,0.420391,0.013175,0.41263,0.42798,0.394609,0.440843,1.0,0.420391,0.343694,34,100,0.34,10,0,0
gpt-5.4,gpt-5.4-2026-03-05,verbatim,1,text-embedding-embeddinggemma-300m,strict,10,0.415894,0.015327,0.406801,0.424936,0.396013,0.438724,1.0,0.415894,0.343785,37,100,0.37,10,0,0
gpt-5.4,gpt-5.4-2026-03-05,terse,0,text-embedding-embeddinggemma-300m,strict,10,0.407915,0.0,0.407915,0.407915,0.407915,0.407915,1.0,0.407915,1.0,10,100,0.1,10,0,0
gpt-5.4,gpt-5.4-2026-03-05,terse,0.7,text-embedding-embeddinggemma-300m,strict,10,0.412337,0.008182,0.407553,0.417321,0.396811,0.429208,1.0,0.412337,0.422455,26,100,0.26,10,0,0
gpt-5.4,gpt-5.4-2026-03-05,terse,1,text-embedding-embeddinggemma-300m,strict,10,0.409081,0.011166,0.40298,0.416067,0.396403,0.431044,1.0,0.409081,0.435772,26,100,0.26,10,0,0
gpt-5.4,gpt-5.4-2026-03-05,cot,0,text-embedding-embeddinggemma-300m,strict,10,0.432385,0.0,0.432385,0.432385,0.432385,0.432385,1.0,0.432385,1.0,10,100,0.1,10,0,0
gpt-5.4,gpt-5.4-2026-03-05,cot,0.7,text-embedding-embeddinggemma-300m,strict,10,0.441902,0.008492,0.436822,0.446855,0.425935,0.454899,0.94,0.415388,0.443902,28,94,0.297872,10,0,0
gpt-5.4,gpt-5.4-2026-03-05,cot,1,text-embedding-embeddinggemma-300m,strict,10,0.444492,0.018569,0.433503,0.455426,0.415249,0.472104,1.0,0.444492,0.409146,29,100,0.29,10,0,0
gpt-5.4,gpt-5.4-2026-03-05,maxcreative,0,text-embedding-embeddinggemma-300m,strict,10,0.444253,0.0,0.444253,0.444253,0.444253,0.444253,1.0,0.444253,1.0,10,100,0.1,10,0,0
gpt-5.4,gpt-5.4-2026-03-05,maxcreative,0.7,text-embedding-embeddinggemma-300m,strict,10,0.450888,0.020506,0.439466,0.463206,0.42857,0.483123,1.0,0.450888,0.40917,26,100,0.26,10,0,0
gpt-5.4,gpt-5.4-2026-03-05,maxcreative,1,text-embedding-embeddinggemma-300m,strict,10,0.453688,0.016045,0.443871,0.462482,0.422893,0.471002,1.0,0.453688,0.488541,26,100,0.26,10,0,0
gpt-5.4-mini,gpt-5.4-mini-2026-03-17,verbatim,0,text-embedding-embeddinggemma-300m,strict,10,0.432099,0.0,0.432099,0.432099,0.432099,0.432099,1.0,0.432099,1.0,10,100,0.1,10,0,0
gpt-5.4-mini,gpt-5.4-mini-2026-03-17,verbatim,0.7,text-embedding-embeddinggemma-300m,strict,10,0.425516,0.014664,0.416654,0.433939,0.400599,0.447591,1.0,0.425516,0.303657,37,100,0.37,10,0,0
gpt-5.4-mini,gpt-5.4-mini-2026-03-17,verbatim,1,text-embedding-embeddinggemma-300m,strict,10,0.419577,0.020631,0.40768,0.431738,0.382066,0.455959,1.0,0.419577,0.244949,40,100,0.4,10,0,0
gpt-5.4-mini,gpt-5.4-mini-2026-03-17,terse,0,text-embedding-embeddinggemma-300m,strict,10,0.415494,0.0,0.415494,0.415494,0.415494,0.415494,1.0,0.415494,1.0,10,100,0.1,10,0,0
gpt-5.4-mini,gpt-5.4-mini-2026-03-17,terse,0.7,text-embedding-embeddinggemma-300m,strict,10,0.422436,0.005094,0.419291,0.425289,0.414427,0.427955,1.0,0.422436,0.64474,17,100,0.17,10,0,0
gpt-5.4-mini,gpt-5.4-mini-2026-03-17,terse,1,text-embedding-embeddinggemma-300m,strict,10,0.414362,0.014489,0.405575,0.422689,0.382726,0.438629,1.0,0.414362,0.385459,29,100,0.29,10,0,0
gpt-5.4-mini,gpt-5.4-mini-2026-03-17,cot,0,text-embedding-embeddinggemma-300m,strict,10,0.400667,0.010981,0.394284,0.407233,0.384296,0.420949,1.0,0.400667,0.660295,17,100,0.17,10,0,0
gpt-5.4-mini,gpt-5.4-mini-2026-03-17,cot,0.7,text-embedding-embeddinggemma-300m,strict,10,0.425443,0.018182,0.416741,0.437503,0.406683,0.472718,1.0,0.425443,0.299043,35,100,0.35,10,0,0
gpt-5.4-mini,gpt-5.4-mini-2026-03-17,cot,1,text-embedding-embeddinggemma-300m,strict,10,0.420818,0.022984,0.407165,0.434027,0.377851,0.457195,1.0,0.420818,0.184266,47,100,0.47,10,0,0
gpt-5.4-mini,gpt-5.4-mini-2026-03-17,maxcreative,0,text-embedding-embeddinggemma-300m,strict,10,0.426235,0.000247,0.426156,0.426391,0.426156,0.426939,1.0,0.426235,0.869878,13,100,0.13,10,0,0
gpt-5.4-mini,gpt-5.4-mini-2026-03-17,maxcreative,0.7,text-embedding-embeddinggemma-300m,strict,10,0.434592,0.012172,0.427967,0.442094,0.42178,0.457994,1.0,0.434592,0.385334,28,100,0.28,10,0,0
gpt-5.4-mini,gpt-5.4-mini-2026-03-17,maxcreative,1,text-embedding-embeddinggemma-300m,strict,10,0.444858,0.00912,0.43977,0.450493,0.434833,0.460639,1.0,0.444858,0.287856,38,100,0.38,10,0,0
gpt-5.1,gpt-5.1-2025-11-13,verbatim,0,text-embedding-embeddinggemma-300m,strict,10,0.455532,0.0,0.455532,0.455532,0.455532,0.455532,1.0,0.455532,1.0,10,100,0.1,10,0,0
gpt-5.1,gpt-5.1-2025-11-13,verbatim,0.7,text-embedding-embeddinggemma-300m,strict,10,0.435408,0.017793,0.425207,0.446001,0.408224,0.466026,1.0,0.435408,0.183138,47,100,0.47,10,0,0
gpt-5.1,gpt-5.1-2025-11-13,verbatim,1,text-embedding-embeddinggemma-300m,strict,10,0.434963,0.014188,0.426449,0.443084,0.414254,0.452571,0.98,0.426264,0.173289,48,98,0.489796,10,0,0
gpt-5.1,gpt-5.1-2025-11-13,terse,0,text-embedding-embeddinggemma-300m,strict,10,0.412838,0.02002,0.401391,0.424284,0.393847,0.432002,1.0,0.412838,0.653724,15,100,0.15,10,0,0
gpt-5.1,gpt-5.1-2025-11-13,terse,0.7,text-embedding-embeddinggemma-300m,strict,10,0.425681,0.021063,0.413779,0.438662,0.398183,0.463837,1.0,0.425681,0.60313,22,100,0.22,10,0,0
gpt-5.1,gpt-5.1-2025-11-13,terse,1,text-embedding-embeddinggemma-300m,strict,10,0.424337,0.017153,0.414011,0.434082,0.393847,0.45219,1.0,0.424337,0.433332,29,100,0.29,10,0,0
gpt-5.1,gpt-5.1-2025-11-13,cot,0,text-embedding-embeddinggemma-300m,strict,10,0.449786,0.010493,0.444106,0.456275,0.439147,0.464485,0.97,0.436292,0.516597,19,97,0.195876,10,0,0
gpt-5.1,gpt-5.1-2025-11-13,cot,0.7,text-embedding-embeddinggemma-300m,strict,10,0.459748,0.014176,0.450721,0.467365,0.428448,0.478049,0.98,0.450553,0.352652,30,98,0.306122,10,0,0
gpt-5.1,gpt-5.1-2025-11-13,cot,1,text-embedding-embeddinggemma-300m,strict,10,0.463235,0.01952,0.451876,0.474856,0.431971,0.498861,0.99,0.458602,0.153723,55,99,0.555556,10,0,0
gpt-5.1,gpt-5.1-2025-11-13,maxcreative,0,text-embedding-embeddinggemma-300m,strict,10,0.444063,0.019903,0.431504,0.454637,0.409081,0.458498,1.0,0.444063,0.490179,21,100,0.21,10,0,0
gpt-5.1,gpt-5.1-2025-11-13,maxcreative,0.7,text-embedding-embeddinggemma-300m,strict,10,0.447987,0.018444,0.436054,0.457883,0.409205,0.465448,0.98,0.439027,0.215766,41,98,0.418367,10,0,0
gpt-5.1,gpt-5.1-2025-11-13,maxcreative,1,text-embedding-embeddinggemma-300m,strict,10,0.443622,0.019196,0.432739,0.455085,0.418441,0.475678,1.0,0.443622,0.184718,44,100,0.44,10,0,0
gpt-4.1,gpt-4.1-2025-04-14,verbatim,0,text-embedding-embeddinggemma-300m,strict,10,0.388786,0.008154,0.38442,0.393737,0.378748,0.408217,1.0,0.388786,0.595845,22,100,0.22,10,0,0
gpt-4.1,gpt-4.1-2025-04-14,verbatim,0.7,text-embedding-embeddinggemma-300m,strict,10,0.416691,0.019505,0.404673,0.427737,0.38362,0.442635,1.0,0.416691,0.234279,36,100,0.36,10,0,0
gpt-4.1,gpt-4.1-2025-04-14,verbatim,1,text-embedding-embeddinggemma-300m,strict,10,0.423261,0.020459,0.410954,0.435065,0.390229,0.452148,1.0,0.423261,0.132139,52,100,0.52,10,0,0
gpt-4.1,gpt-4.1-2025-04-14,terse,0,text-embedding-embeddinggemma-300m,strict,10,0.436178,0.007541,0.431409,0.438563,0.414716,0.438563,1.0,0.436178,0.841129,13,100,0.13,10,0,0
gpt-4.1,gpt-4.1-2025-04-14,terse,0.7,text-embedding-embeddinggemma-300m,strict,10,0.42662,0.022884,0.413619,0.440387,0.403717,0.464315,1.0,0.42662,0.485755,22,100,0.22,10,0,0
gpt-4.1,gpt-4.1-2025-04-14,terse,1,text-embedding-embeddinggemma-300m,strict,10,0.419044,0.023785,0.404256,0.432143,0.370127,0.451163,1.0,0.419044,0.347079,30,100,0.3,10,0,0
gpt-4.1,gpt-4.1-2025-04-14,cot,0,text-embedding-embeddinggemma-300m,strict,10,0.434591,0.012295,0.427615,0.441755,0.416811,0.453233,1.0,0.434591,0.18696,42,100,0.42,10,0,0
gpt-4.1,gpt-4.1-2025-04-14,cot,0.7,text-embedding-embeddinggemma-300m,strict,10,0.430747,0.020903,0.419212,0.443594,0.403075,0.475358,1.0,0.430747,0.106307,62,100,0.62,10,0,0
gpt-4.1,gpt-4.1-2025-04-14,cot,1,text-embedding-embeddinggemma-300m,strict,10,0.427922,0.030944,0.409858,0.445743,0.379163,0.46957,0.98,0.419364,0.081319,66,98,0.673469,10,0,0
gpt-4.1,gpt-4.1-2025-04-14,maxcreative,0,text-embedding-embeddinggemma-300m,strict,10,0.411639,0.018101,0.401224,0.422053,0.394489,0.431285,1.0,0.411639,0.575565,19,100,0.19,10,0,0
gpt-4.1,gpt-4.1-2025-04-14,maxcreative,0.7,text-embedding-embeddinggemma-300m,strict,10,0.428353,0.014422,0.419636,0.436566,0.403642,0.45027,1.0,0.428353,0.197528,39,100,0.39,10,0,0
gpt-4.1,gpt-4.1-2025-04-14,maxcreative,1,text-embedding-embeddinggemma-300m,strict,10,0.441251,0.009114,0.435767,0.446375,0.426165,0.453008,1.0,0.441251,0.214908,42,100,0.42,10,0,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,verbatim,0,text-embedding-embeddinggemma-300m,strict,10,0.425367,0.000322,0.425265,0.425571,0.425265,0.426284,1.0,0.425367,0.804906,15,100,0.15,10,0,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,verbatim,0.7,text-embedding-embeddinggemma-300m,strict,10,0.425784,0.020691,0.413775,0.437997,0.385635,0.467871,1.0,0.425784,0.27195,39,100,0.39,10,0,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,verbatim,1,text-embedding-embeddinggemma-300m,strict,10,0.412796,0.021134,0.401719,0.426255,0.385554,0.46253,1.0,0.412796,0.237084,43,100,0.43,10,0,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,terse,0,text-embedding-embeddinggemma-300m,strict,10,0.409952,0.00445,0.407841,0.413118,0.407841,0.418395,1.0,0.409952,0.771251,14,100,0.14,10,0,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,terse,0.7,text-embedding-embeddinggemma-300m,strict,10,0.412725,0.011782,0.405571,0.419361,0.392198,0.429573,1.0,0.412725,0.485651,24,100,0.24,10,0,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,terse,1,text-embedding-embeddinggemma-300m,strict,10,0.411802,0.009999,0.405742,0.417309,0.392267,0.422743,1.0,0.411802,0.453358,27,100,0.27,10,0,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,cot,0,text-embedding-embeddinggemma-300m,strict,10,0.393553,0.010393,0.387095,0.399317,0.379092,0.40143,1.0,0.393553,0.642328,18,100,0.18,10,0,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,cot,0.7,text-embedding-embeddinggemma-300m,strict,10,0.418817,0.017214,0.408745,0.429145,0.394821,0.443433,0.97,0.406252,0.285872,33,97,0.340206,10,0,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,cot,1,text-embedding-embeddinggemma-300m,strict,10,0.412889,0.021242,0.399926,0.425042,0.371116,0.444487,0.97,0.400502,0.213865,44,97,0.453608,10,0,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,maxcreative,0,text-embedding-embeddinggemma-300m,strict,10,0.440334,0.0,0.440334,0.440334,0.440334,0.440334,1.0,0.440334,0.933333,12,100,0.12,10,0,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,maxcreative,0.7,text-embedding-embeddinggemma-300m,strict,10,0.429412,0.016947,0.418433,0.438278,0.397834,0.440334,1.0,0.429412,0.544278,22,100,0.22,10,0,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,maxcreative,1,text-embedding-embeddinggemma-300m,strict,10,0.424536,0.015712,0.41533,0.433759,0.403414,0.442013,1.0,0.424536,0.430208,32,100,0.32,10,0,0
gpt-4o,gpt-4o-2024-08-06,verbatim,0,text-embedding-embeddinggemma-300m,strict,10,0.405526,0.003416,0.403191,0.407136,0.398278,0.407136,0.99,0.40147,0.812169,16,99,0.161616,10,0,0
gpt-4o,gpt-4o-2024-08-06,verbatim,0.7,text-embedding-embeddinggemma-300m,strict,10,0.413517,0.021582,0.399923,0.425006,0.369198,0.435699,0.99,0.409382,0.158231,55,99,0.555556,10,0,0
gpt-4o,gpt-4o-2024-08-06,verbatim,1,text-embedding-embeddinggemma-300m,strict,10,0.416786,0.016758,0.407217,0.426704,0.393581,0.449026,0.99,0.412618,0.185291,49,99,0.494949,10,0,0
gpt-4o,gpt-4o-2024-08-06,terse,0,text-embedding-embeddinggemma-300m,strict,10,0.399564,0.0,0.399564,0.399564,0.399564,0.399564,1.0,0.399564,1.0,10,100,0.1,10,0,0
gpt-4o,gpt-4o-2024-08-06,terse,0.7,text-embedding-embeddinggemma-300m,strict,10,0.406279,0.011278,0.400031,0.413253,0.39246,0.429594,1.0,0.406279,0.385142,33,100,0.33,10,0,0
gpt-4o,gpt-4o-2024-08-06,terse,1,text-embedding-embeddinggemma-300m,strict,10,0.418075,0.012973,0.410728,0.425756,0.401731,0.437892,1.0,0.418075,0.350479,35,100,0.35,10,0,0
gpt-4o,gpt-4o-2024-08-06,cot,0,text-embedding-embeddinggemma-300m,strict,10,0.415599,0.002741,0.413912,0.417131,0.412069,0.417693,0.91,0.378195,0.721538,13,91,0.142857,10,0,0
gpt-4o,gpt-4o-2024-08-06,cot,0.7,text-embedding-embeddinggemma-300m,strict,10,0.42588,0.017144,0.415725,0.435529,0.401341,0.447192,0.96,0.408845,0.163739,51,96,0.53125,10,0,0
gpt-4o,gpt-4o-2024-08-06,cot,1,text-embedding-embeddinggemma-300m,strict,10,0.42783,0.018956,0.417177,0.440114,0.403057,0.469428,0.95,0.406438,0.100415,58,95,0.610526,10,0,0
gpt-4o,gpt-4o-2024-08-06,maxcreative,0,text-embedding-embeddinggemma-300m,strict,10,0.424319,0.0,0.424319,0.424319,0.424319,0.424319,1.0,0.424319,1.0,10,100,0.1,10,0,0
gpt-4o,gpt-4o-2024-08-06,maxcreative,0.7,text-embedding-embeddinggemma-300m,strict,10,0.41429,0.01253,0.406897,0.421552,0.394093,0.433134,1.0,0.41429,0.290095,39,100,0.39,10,0,0
gpt-4o,gpt-4o-2024-08-06,maxcreative,1,text-embedding-embeddinggemma-300m,strict,10,0.427456,0.023263,0.413853,0.441404,0.396989,0.466549,1.0,0.427456,0.165906,52,100,0.52,10,0,0
gpt-4o-mini,gpt-4o-mini-2024-07-18,verbatim,0,text-embedding-embeddinggemma-300m,strict,10,0.41904,0.020264,0.405296,0.429382,0.378138,0.429382,1.0,0.41904,0.693549,20,100,0.2,10,0,0
gpt-4o-mini,gpt-4o-mini-2024-07-18,verbatim,0.7,text-embedding-embeddinggemma-300m,strict,10,0.407186,0.020609,0.396465,0.420792,0.386225,0.457464,1.0,0.407186,0.211201,45,100,0.45,10,0,0
gpt-4o-mini,gpt-4o-mini-2024-07-18,verbatim,1,text-embedding-embeddinggemma-300m,strict,10,0.409819,0.014306,0.401322,0.418461,0.387211,0.436594,0.97,0.397524,0.178114,48,97,0.494845,10,0,0
gpt-4o-mini,gpt-4o-mini-2024-07-18,terse,0,text-embedding-embeddinggemma-300m,strict,10,0.394989,0.0,0.394989,0.394989,0.394989,0.394989,1.0,0.394989,0.719347,14,100,0.14,10,0,0
gpt-4o-mini,gpt-4o-mini-2024-07-18,terse,0.7,text-embedding-embeddinggemma-300m,strict,10,0.393466,0.01195,0.385828,0.399746,0.366438,0.405953,1.0,0.393466,0.542585,22,100,0.22,10,0,0
gpt-4o-mini,gpt-4o-mini-2024-07-18,terse,1,text-embedding-embeddinggemma-300m,strict,10,0.401625,0.019687,0.391028,0.414308,0.372554,0.447744,0.99,0.397609,0.360296,35,99,0.353535,10,0,0
gpt-4o-mini,gpt-4o-mini-2024-07-18,cot,0,text-embedding-embeddinggemma-300m,strict,10,0.380468,0.0,0.380468,0.380468,0.380468,0.380468,1.0,0.380468,0.798653,13,100,0.13,10,0,0
gpt-4o-mini,gpt-4o-mini-2024-07-18,cot,0.7,text-embedding-embeddinggemma-300m,strict,10,0.410273,0.021719,0.398851,0.424575,0.377672,0.464484,1.0,0.410273,0.254757,41,100,0.41,10,0,0
gpt-4o-mini,gpt-4o-mini-2024-07-18,cot,1,text-embedding-embeddinggemma-300m,strict,10,0.405556,0.0149,0.396924,0.414422,0.388192,0.426372,1.0,0.405556,0.164867,52,100,0.52,10,0,0
gpt-4o-mini,gpt-4o-mini-2024-07-18,maxcreative,0,text-embedding-embeddinggemma-300m,strict,10,0.400266,0.009545,0.394338,0.406194,0.394338,0.414098,1.0,0.400266,0.915152,11,100,0.11,10,0,0
gpt-4o-mini,gpt-4o-mini-2024-07-18,maxcreative,0.7,text-embedding-embeddinggemma-300m,strict,10,0.405757,0.014092,0.397443,0.41382,0.380091,0.426059,1.0,0.405757,0.329236,36,100,0.36,10,0,0
gpt-4o-mini,gpt-4o-mini-2024-07-18,maxcreative,1,text-embedding-embeddinggemma-300m,strict,10,0.406189,0.016584,0.396497,0.415789,0.378303,0.428534,1.0,0.406189,0.267471,43,100,0.43,10,0,0
gpt-3.5-turbo,gpt-3.5-turbo-0125,verbatim,0,text-embedding-embeddinggemma-300m,strict,10,0.413956,0.016869,0.404185,0.423964,0.386774,0.442441,1.0,0.413956,0.563059,18,100,0.18,10,0,0
gpt-3.5-turbo,gpt-3.5-turbo-0125,verbatim,0.7,text-embedding-embeddinggemma-300m,strict,10,0.415567,0.012789,0.40802,0.422911,0.393331,0.435086,0.98,0.407256,0.320349,27,98,0.27551,10,0,0
gpt-3.5-turbo,gpt-3.5-turbo-0125,verbatim,1,text-embedding-embeddinggemma-300m,strict,10,0.419276,0.023549,0.40714,0.434338,0.39697,0.474235,1.0,0.419276,0.242158,40,100,0.4,10,0,0
